"Date","Primary_Bird","Video_Num","Subject","Behavior","Modifiers","Vid_occurrences","Vid_duration","Vid_visible","Day_visible","Day_occurrences","Day_duration","Rate_per_min_vid","Rate_per_min_day","Percent_time_visible_vid","Percent_time_visible_day"
2025-06-10,"C","2","No focal subject","Close proximity","Mutual|Mutual",2,63.72,NA,NA,17,294.558,NA,NA,NA,NA
2025-06-10,"C","2","No focal subject","Unclear video","",4,33.82,NA,NA,71,422.483,NA,NA,NA,NA
2025-06-10,"C","2","Broken beak","Feed","Auto-|Unknown|None",5,NA,56.76,1741.873,89,NA,5.28541226215645,3.06566552211327,NA,NA
2025-06-10,"C","2","Broken beak","Feed","Auto-|Successful|None",1,NA,56.76,1741.873,39,NA,1.05708245243129,1.34338152092604,NA,NA
2025-06-10,"C","2","Broken beak","Feed","Auto-|Unsuccessful|None",2,NA,56.76,1741.873,63,NA,2.11416490486258,2.17007784149591,NA,NA
2025-06-10,"C","2","Broken beak","Foraging","",3,56.76,56.76,1741.873,63,1597.954,NA,NA,100,91.7376869611045
2025-06-10,"C","2","Other crow #1","Alert","",2,12.4,125.88,2006.035,28,165.597,NA,NA,9.85065141404512,8.2549407163883
2025-06-10,"C","2","Other crow #1","Feed","Auto-|Unknown|None",5,NA,125.88,2006.035,28,NA,2.38322211630124,0.837472925447462,NA,NA
2025-06-10,"C","2","Other crow #1","Feed","Auto-|Successful|None",1,NA,125.88,2006.035,31,NA,0.476644423260248,0.92720216745969,NA,NA
2025-06-10,"C","2","Other crow #1","Foraging","",6,113.48,125.88,2006.035,78,1611.199,NA,NA,90.1493485859549,80.3175916671444
2025-06-10,"C","2","Other crow #2","Preen","Auto-|None",1,7.56,36.32,135.6,2,20.6,NA,NA,20.8149779735683,15.1917404129793
2025-06-10,"C","2","Other crow #2","Feed","Auto-|Successful|None",1,NA,36.32,135.6,1,NA,1.65198237885463,0.442477876106195,NA,NA
2025-06-10,"C","2","Other crow #2","Feed","Auto-|Unknown|None",2,NA,36.32,135.6,4,NA,3.30396475770925,1.76991150442478,NA,NA
2025-06-10,"C","2","Other crow #2","Foraging","",4,28.76,36.32,135.6,7,54.12,NA,NA,79.1850220264317,39.9115044247788
